Name,Symbol,Market Cap (USD),Price (USD),Circulating Supply (USD),Volume (24h),Change (1h),Change (24h),Change (7d)
Bitcoin,BTC,"$676,439,627,190","$36,360.22","18,603,837 BTC","$54,134,644,169",-1.73%,3.39%,7.76%
Ethereum,ETH,"$140,924,318,219","$1,232.90","114,303,110 ETH","$29,110,320,974",-0.69%,1.87%,16.16%
Tether,USDT,"$24,361,307,300",$1.00,"24,352,132,870 USDT *","$87,734,020,251",0.00%,0.00%,0.09%
Polkadot,DOT,"$15,190,324,279",$16.85,"901,323,746 DOT *","$4,147,297,687",0.10%,0.11%,112.53%
XRP,XRP,"$12,824,384,012",$0.2825,"45,404,028,640 XRP *","$3,309,319,727",-0.85%,2.54%,-0.50%
Cardano,ADA,"$11,594,482,990",$0.3727,"31,112,484,646 ADA","$4,376,087,973",0.73%,1.65%,39.79%
Litecoin,LTC,"$9,824,971,909",$148.18,"66,306,204 LTC","$6,552,349,667",-1.99%,5.66%,10.21%
Bitcoin Cash,BCH,"$9,195,771,492",$493.58,"18,630,700 BCH","$4,513,249,851",-0.45%,3.89%,2.69%
Chainlink,LINK,"$8,685,989,832",$21.63,"401,509,556 LINK *","$4,853,081,295",-0.43%,6.25%,52.19%
Stellar,XLM,"$6,573,827,997",$0.2975,"22,095,601,011 XLM *","$1,219,627,599",-0.13%,0.75%,21.21%
Binance Coin,BNB,"$6,303,820,971",$44.27,"142,406,561 BNB *","$710,511,872",-1.36%,6.18%,16.08%
USD Coin,USDC,"$5,080,362,871",$1.00,"5,078,965,633 USDC *","$1,405,296,085",-0.04%,0.02%,-0.09%
Wrapped Bitcoin,WBTC,"$4,031,685,516","$36,363.21","110,873 WBTC *","$106,872,673",-1.46%,3.64%,8.32%
Bitcoin SV,BSV,"$3,800,262,634",$204.00,"18,628,427 BSV","$994,338,379",-0.38%,2.20%,6.65%
Monero,XMR,"$2,708,825,015",$152.04,"17,816,390 XMR","$1,833,575,386",-2.67%,-1.06%,-2.42%
